Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_45i,False,9726.291,ADP,{},-2651.81041771,0.0,125202.79002,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_3M,False,20732.53,ADP,{},-1690.26230531,0.0,223871.971567,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_1i,False,7437.924,ADP,{},-1845.06506774,0.0,91674.353709,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_45M,False,8703.295,ADP,{},-1162.25580812,0.0,99417.7860969,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_0i,False,6706.367,ADP,{},-2721.4001798,0.0,92841.1462573,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_0M,False,6125.234,ADP,{},-1607.1201887,0.0,76500.3248155,True
C10H15N5O10P2,0.9875,0.9875,C12 PARENT,ADP,091215_5i,False,83139.03,ADP,{},92956.8041503,92956.8041503,94134.6080651,False
C10H15N5O10P2,0.8725,0.8725,C12 PARENT,ADP,091215_120i,False,57907.93,ADP,{},64746.1981185,64746.1981185,74211.6051908,False
C10H15N5O10P2,0.9897,0.9897,C12 PARENT,ADP,091215_5M,False,82036.25,ADP,{},91723.7983709,91723.7983709,92674.8205686,False
C10H15N5O10P2,0.9526,0.9526,C12 PARENT,ADP,091215_240M,False,41180.7,ADP,{},46043.6724445,46043.6724445,48335.2888504,False
C10H15N5O10P2,0.9824,0.9824,C12 PARENT,ADP,091215_15i,False,68014.34,ADP,{},76046.0602294,76046.0602294,77410.1175752,False
C10H15N5O10P2,0.7741,0.7741,C12 PARENT,ADP,091215_240i,False,42104.57,ADP,{},47076.6409871,47076.6409871,60814.1278886,False
C10H15N5O10P2,0.9886,0.9886,C12 PARENT,ADP,091215_15M,False,85054.4,ADP,{},95098.3575695,95098.3575695,96192.29878,False
C10H15N5O10P2,0.8445,0.8445,C12 PARENT,ADP,091215_120M,False,31141.87,ADP,{},34819.3707632,34819.3707632,41231.0085178,False
C10H15N5O10P2,0.9912,0.9912,C12 PARENT,ADP,091215_3i,False,112736.4,ADP,{},126049.287025,126049.287025,127167.007536,False
C10H15N5O10P2,0.9862,0.9862,C12 PARENT,ADP,091215_1M,False,69053.66,ADP,{},77208.1121043,77208.1121043,78287.9792728,False
C10H15N5O10P2,0.9646,0.9646,C12 PARENT,ADP,091215_45i,False,108018.6,ADP,{},120774.368486,120774.368486,125202.79002,False
C10H15N5O10P2,0.9905,0.9905,C12 PARENT,ADP,091215_3M,False,198325.6,ADP,{},221745.598393,221745.598393,223871.971567,False
C10H15N5O10P2,0.9895,0.9895,C12 PARENT,ADP,091215_1i,False,81131.16,ADP,{},90711.8275328,90711.8275328,91674.353709,False
C10H15N5O10P2,0.9773,0.9773,C12 PARENT,ADP,091215_45M,False,86902.62,ADP,{},97164.8313372,97164.8313372,99417.7860969,False
C10H15N5O10P2,0.9836,0.9836,C12 PARENT,ADP,091215_0i,False,81674.79,ADP,{},91319.6540547,91319.6540547,92841.1462573,False
C10H15N5O10P2,0.9868,0.9868,C12 PARENT,ADP,091215_0M,False,67519.15,ADP,{},75492.3939207,75492.3939207,76500.3248155,False
